,X,Bay,Date,Year,Tow,Towindex,Station,Temp,SAL,DO.mg.L,distswept,NumCaught,jday,cpT,avl,minl,maxl,sdl,area,cpue,efoff,rcpT,AvDepth,std_cpue,Pres,dayl
135,159,Jamaica,2011-06-24,2011,1,11,NA,22.6,24,5.49,201.2,0,175,9.58083322,57.29145912,50,70,6.841748593,201.2,0.04651945,5.304299438,10,NA,47,1,15.09658372
136,160,Jamaica,2011-06-24,2011,2,12,NA,22.5,24,6.25,201.2,0,175,9.740537562,56.10051667,45,73,9.423880507,201.2,0.047276843,5.304299438,10,NA,47,1,15.09658372
137,161,Jamaica,2011-06-24,2011,3,13,NA,22.8,23.8,6.18,201.2,0,175,9.774290846,55.76035848,45,65,6.317021601,201.2,0.047436843,5.304299438,10,NA,47,1,15.09658372
138,162,Jamaica,2011-06-24,2011,4,14,NA,22.9,24,6.38,201.2,0,175,12.33511432,57.14698753,50,65,4.666666667,201.2,0.059501851,5.304299438,12,NA,60,1,15.09658372
139,163,Jamaica,2011-06-24,2011,5,15,NA,23.2,24.2,6.03,201.2,0,175,0,NA,NA,NA,NA,201.2,0,5.304299438,0,NA,0,0,15.09658372
140,164,Jamaica,2011-06-24,2011,6,16,NA,23.3,23.1,5.77,201.2,0,175,0,NA,NA,NA,NA,201.2,0,5.304299438,0,NA,0,0,15.09658372
141,165,Jamaica,2011-06-24,2011,7,17,NA,23.4,23.5,6.55,201.2,3,175,0,NA,NA,NA,NA,201.2,0,5.304299438,0,NA,0,0,15.09658372
142,166,Jamaica,2011-06-24,2011,8,18,NA,23.4,23.5,5.04,201.2,0,175,0,NA,NA,NA,NA,201.2,0,5.304299438,0,NA,0,0,15.09658372
143,167,Jamaica,2011-06-24,2011,9,19,NA,23.3,23.9,5.5,201.2,4,175,0,NA,NA,NA,NA,201.2,0,5.304299438,0,NA,0,0,15.09658372
144,168,Jamaica,2011-06-24,2011,10,20,NA,23.3,23.9,5.5,201.2,3,175,0,NA,NA,NA,NA,201.2,0,5.304299438,0,NA,0,0,15.09658372
145,169,Jamaica,2011-07-08,2011,1,21,NA,26.1,23.6,7.6,201.2,0,189,0,NA,NA,NA,NA,201.2,0,5.304299438,0,NA,0,0,14.96922664
146,170,Jamaica,2011-07-08,2011,2,22,NA,26.7,23.6,13.42,201.2,1,189,1.192534974,67,67,67,NA,201.2,0.005909616,5.304299438,1,NA,6,1,14.96922664
147,171,Jamaica,2011-07-08,2011,3,23,NA,26.2,22.6,10.8,201.2,0,189,0,NA,NA,NA,NA,201.2,0,5.304299438,0,NA,0,0,14.96922664
148,172,Jamaica,2011-07-08,2011,4,24,NA,27.1,21.4,10.2,201.2,0,189,0,NA,NA,NA,NA,201.2,0,5.304299438,0,NA,0,0,14.96922664
149,173,Jamaica,2011-07-08,2011,5,25,NA,26.7,24.8,9.65,201.2,1,189,1.086431913,77,77,77,NA,201.2,0.005385235,5.304299438,1,NA,5,1,14.96922664
150,174,Jamaica,2011-07-08,2011,6,26,NA,26.6,24.7,7.5,160.9,0,189,0,NA,NA,NA,NA,160.9,0,5.080783054,0,NA,0,0,14.96922664
151,175,Jamaica,2011-07-08,2011,7,27,NA,26.7,23.9,15.82,201.2,0,189,0,NA,NA,NA,NA,201.2,0,5.304299438,0,NA,0,0,14.96922664
152,176,Jamaica,2011-07-08,2011,8,28,NA,27.1,24.2,5.68,201.2,0,189,0,NA,NA,NA,NA,201.2,0,5.304299438,0,NA,0,0,14.96922664
153,177,Jamaica,2011-07-08,2011,9,29,NA,27.6,24.3,13.36,201.2,0,189,0,NA,NA,NA,NA,201.2,0,5.304299438,0,NA,0,0,14.96922664
