,Bay,Date,Year,Tow,Towindex,Station,StartLAT,StartLON,Temp,SAL,DO.mg.L,Bottom.type,distswept,NumCaught,jday,cpT,avl,minl,maxl,sdl,area,cpue,efoff,rcpT,AvDepth,EndLAT,EndLON,NumKept
16,Cold Spring Pond,2010-06-10,2010,6,16,18,,,20.3,25.1,6.46,sand,362.1,1,161,1.534401164,50,50,50,,362.1,0.004228554,5.891920417,2,,,,
17,Cold Spring Pond,2010-06-10,2010,7,17,16,,,20,24.8,6.37,sand,375.5,0,161,0,,,,,375.5,0,5.928258471,0,,,,
18,Cold Spring Pond,2010-06-10,2010,8,18,8,,,20.1,24.8,6.17,mud/sand,348.7,0,161,0,,,,,348.7,0,5.854211954,0,,,,
19,Cold Spring Pond,2010-06-10,2010,9,19,3,,,20.2,25.1,6.21,sand,348.7,0,161,0,,,,,348.7,0,5.854211954,0,,,,
20,Cold Spring Pond,2010-06-10,2010,10,20,17,,,20.3,24.9,6.15,sand,321.9,0,161,0,,,,,321.9,0,5.774240938,0,,,,
21,Cold Spring Pond,2010-06-28,2010,1,21,3,,,26.2,26,6.19,sand,201.2,1,179,1.222917267,65,65,65,,201.2,0.00605972,5.304299438,1,,,,
22,Cold Spring Pond,2010-06-28,2010,2,22,9,,,26.3,26.1,6.36,sand,201.2,0,179,0,,,,,201.2,0,5.304299438,0,,,,
23,Cold Spring Pond,2010-06-28,2010,3,23,4,,,26.5,26,6.62,mud/sand,201.2,0,179,0,,,,,201.2,0,5.304299438,0,,,,
24,Cold Spring Pond,2010-06-28,2010,4,24,5,,,26.6,25.9,6.75,sand,201.2,2,179,2.399340422,67.69767489,60,77,12.02081528,201.2,0.011854607,5.304299438,2,,,,
25,Cold Spring Pond,2010-06-28,2010,5,25,6,,,26.7,25.8,6.77,sand,201.2,0,179,0,,,,,201.2,0,5.304299438,0,,,,
26,Cold Spring Pond,2010-06-28,2010,6,26,13,,,26.9,25.8,6.83,sand,201.2,0,179,0,,,,,201.2,0,5.304299438,0,,,,
27,Cold Spring Pond,2010-06-28,2010,7,27,19,,,27,26.2,6.84,mud/sand,201.2,0,179,0,,,,,201.2,0,5.304299438,0,,,,
28,Cold Spring Pond,2010-06-28,2010,8,28,17,,,27.5,26.2,7.6,sand,201.2,1,179,1.312908509,60,60,60,,201.2,0.006504192,5.304299438,1,,,,
29,Cold Spring Pond,2010-06-28,2010,9,29,16,,,28,26.1,7.49,sand,201.2,0,179,0,,,,,201.2,0,5.304299438,0,,,,
30,Cold Spring Pond,2010-06-28,2010,10,30,8,,,27.8,26,7.25,sand,201.2,0,179,0,,,,,201.2,0,5.304299438,0,,,,
31,Cold Spring Pond,2010-07-14,2010,1,31,2,,,26.4,26.7,5.9,sand,201.2,10,195,13.95722747,55.55360138,37,78,10.73364389,201.2,0.067069613,5.304299438,14,,,,
32,Cold Spring Pond,2010-07-14,2010,2,32,10,,,27,26.6,5.91,sand,228,0,195,0,,,,,228,0,5.429345629,0,,,,
33,Cold Spring Pond,2010-07-14,2010,3,33,12,,,27.1,26.8,5.34,sand,228,1,195,1.207315414,66,66,66,,228,0.005281273,5.429345629,1,,,,
34,Cold Spring Pond,2010-07-14,2010,4,34,20,,,27.6,26.2,4.21,mud/sand,228,0,195,0,,,,,228,0,5.429345629,0,,,,
35,Cold Spring Pond,2010-07-14,2010,5,35,19,,,27.4,26,6.3,sand,228,0,195,0,,,,,228,0,5.429345629,0,,,,
36,Cold Spring Pond,2010-07-14,2010,6,36,18,,,27.5,26.5,5.14,sand,228,0,195,0,,,,,228,0,5.429345629,0,,,,
37,Cold Spring Pond,2010-07-14,2010,7,37,16,,,27.5,26.1,7.31,mud/sand,228,0,195,0,,,,,228,0,5.429345629,0,,,,
38,Cold Spring Pond,2010-07-14,2010,8,38,9,,,27.6,27,8.57,sand,228,0,195,0,,,,,228,0,5.429345629,0,,,,
39,Cold Spring Pond,2010-07-14,2010,9,39,15,,,27.7,26.5,7.63,san,228,0,195,0,,,,,228,0,5.429345629,0,,,,
40,Cold Spring Pond,2010-07-14,2010,10,40,7,,,27.5,26.9,6.92,sand,228,1,195,1.353959245,58,58,58,,228,0.005920855,5.429345629,1,,,,
41,Cold Spring Pond,2010-07-27,2010,1,41,2,,,25.5,27.8,8.67,sand,160.9,0,208,0,,,,,160.9,0,5.080783054,0,,,,
42,Cold Spring Pond,2010-07-27,2010,2,42,4,,,25.9,27.8,8.94,mud/sand,160.9,0,208,0,,,,,160.9,0,5.080783054,0,,,,
43,Cold Spring Pond,2010-07-27,2010,3,43,5,,,26.3,27.4,9.26,mud/sand,214.6,1,208,1.353959245,58,58,58,,214.6,0.006289403,5.36877583,1,,,,
44,Cold Spring Pond,2010-07-27,2010,4,44,6,,,26.4,27.5,9.82,mud/sand,187.8,0,208,0,,,,,187.8,0,5.235377567,0,,,,
45,Cold Spring Pond,2010-07-27,2010,5,45,18,,,26.6,27.2,9.54,mud/sand,201.2,0,208,0,,,,,201.2,0,5.304299438,0,,,,
46,Cold Spring Pond,2010-07-27,2010,6,46,17,,,27.4,27.6,9.99,mud/sand,187.8,0,208,0,,,,,187.8,0,5.235377567,0,,,,
47,Cold Spring Pond,2010-07-27,2010,7,47,9,,,26.7,27.1,9.38,sand,187.8,1,208,1.333117473,59,59,59,,187.8,0.007073526,5.235377567,1,,,,
48,Cold Spring Pond,2010-07-27,2010,8,48,21,,,27.4,27.2,10.71,mud/sand,187.8,0,208,0,,,,,187.8,0,5.235377567,0,,,,
49,Cold Spring Pond,2010-07-27,2010,9,49,14,,,27.7,26.8,10.76,sand,201.2,0,208,0,,,,,201.2,0,5.304299438,0,,,,
50,Cold Spring Pond,2010-07-27,2010,10,50,7,,,27.5,27.2,10.84,sand,201.2,1,208,1.312908509,60,60,60,,201.2,0.006504192,5.304299438,1,,,,
51,Cold Spring Pond,2010-08-16,2010,1,51,2,,,24.6,28.1,4.89,sand,241.4,0,228,0,,,,,241.4,0,5.486455309,0,,,,
52,Cold Spring Pond,2010-08-16,2010,2,52,3,,,24.8,28.2,5.25,sand,201.2,0,228,0,,,,,201.2,0,5.304299438,0,,,,
53,Cold Spring Pond,2010-08-16,2010,3,53,9,,,24.9,28.2,5.32,mud/algae,201.2,0,228,0,,,,,201.2,0,5.304299438,0,,,,
54,Cold Spring Pond,2010-08-16,2010,4,54,6,,,25.2,28.1,4.87,mud,241.4,0,228,0,,,,,241.4,0,5.486455309,0,,,,
55,Cold Spring Pond,2010-08-16,2010,5,55,13,,,25.2,27.9,5.6,mud,241.4,0,228,0,,,,,241.4,0,5.486455309,0,,,,
56,Cold Spring Pond,2010-08-16,2010,6,56,18,,,25,27.8,5.36,mud/sand,187.8,0,228,0,,,,,187.8,0,5.235377567,0,,,,
57,Cold Spring Pond,2010-08-16,2010,7,57,16,,,25,27.9,5.41,sand/algae,187.8,0,228,0,,,,,187.8,0,5.235377567,0,,,,
58,Cold Spring Pond,2010-08-16,2010,8,58,15,,,25.1,27.8,5.53,sand,241.4,0,228,0,,,,,241.4,0,5.486455309,0,,,,
59,Cold Spring Pond,2010-08-16,2010,9,59,14,,,25.2,27.9,5.55,mud/sand,160.9,0,228,0,,,,,160.9,0,5.080783054,0,,,,
60,Cold Spring Pond,2010-08-16,2010,10,60,1,,,25.5,27.4,5.91,sand/algae,134.1,0,228,0,,,,,134.1,0,4.89858579,0,,,,
61,Cold Spring Pond,2010-08-26,2010,1,61,2,,,23.3,28,7.36,sand,268.2,0,238,0,,,,,268.2,0,5.591732971,0,,,,
62,Cold Spring Pond,2010-08-26,2010,2,62,5,,,23.2,28.1,6.96,sand/algae,268.2,0,238,0,,,,,268.2,0,5.591732971,0,,,,
63,Cold Spring Pond,2010-08-26,2010,3,63,6,,,23.2,27.9,6.65,sand/algae,268.2,0,238,0,,,,,268.2,0,5.591732971,0,,,,
64,Cold Spring Pond,2010-08-26,2010,4,64,13,,,23.3,27.6,6.87,sand/algae,268.2,0,238,0,,,,,268.2,0,5.591732971,0,,,,
65,Cold Spring Pond,2010-08-26,2010,5,65,19,,,23.7,27.4,7.52,mud/algae,268.2,0,238,0,,,,,268.2,0,5.591732971,0,,,,
66,Cold Spring Pond,2010-08-26,2010,6,66,10,,,23.5,27.7,7.49,sand,268.2,0,238,0,,,,,268.2,0,5.591732971,0,,,,
67,Cold Spring Pond,2010-08-26,2010,7,67,17,,,23.8,27.6,7.07,sand/algae,268.2,0,238,0,,,,,268.2,0,5.591732971,0,,,,
68,Cold Spring Pond,2010-08-26,2010,8,68,8,,,23.7,27.8,7.92,sand,268.2,0,238,0,,,,,268.2,0,5.591732971,0,,,,
69,Cold Spring Pond,2010-09-09,2010,1,69,5,,,24.1,27.2,7.67,sand/algae,268.2,0,252,0,,,,,268.2,0,5.591732971,0,,,,
70,Cold Spring Pond,2010-09-09,2010,2,70,4,,,23.9,26.9,7.92,sand/algae,268.2,0,252,0,,,,,268.2,0,5.591732971,0,,,,
71,Cold Spring Pond,2010-09-09,2010,3,71,3,,,24.2,27,8.11,sand/algae,268.2,0,252,0,,,,,268.2,0,5.591732971,0,,,,
72,Cold Spring Pond,2010-09-09,2010,4,72,12,,,23.7,26.7,8.13,sand/algae,268.2,0,252,0,,,,,268.2,0,5.591732971,0,,,,
73,Cold Spring Pond,2010-09-09,2010,5,73,18,,,23.7,26.7,8.08,sand/algae,268.2,0,252,0,,,,,268.2,0,5.591732971,0,,,,
74,Cold Spring Pond,2010-09-09,2010,6,74,10,,,24.1,26.7,7.9,sand/algae,268.2,0,252,0,,,,,268.2,0,5.591732971,0,,,,
75,Cold Spring Pond,2010-09-09,2010,7,75,8,,,23.9,27.2,8.26,sand/algae,268.2,0,252,0,,,,,268.2,0,5.591732971,0,,,,
76,Cold Spring Pond,2010-09-09,2010,8,76,14,,,24.5,27,8.84,sand/mud/algae,268.2,0,252,0,,,,,268.2,0,5.591732971,0,,,,
77,Hempstead,2010-06-15,2010,1,1,,,,,,,mud,201.2,0,166,0,,,,,201.2,0,5.304299438,0,,,,
78,Hempstead,2010-06-15,2010,2,2,,,,,,,mud,214.6,0,166,0,,,,,214.6,0,5.36877583,0,,,,
79,Hempstead,2010-06-15,2010,3,3,,,,,,,mud,241.4,0,166,0,,,,,241.4,0,5.486455309,0,,,,
80,Hempstead,2010-06-15,2010,4,4,,,,,,,mud,281.6,0,166,0,,,,,281.6,0,5.640487624,0,,,,
81,Hempstead,2010-06-15,2010,5,5,,,,,,,mud,174.3,0,166,0,,,,,174.3,0,5.160777953,0,,,,
82,Hempstead,2010-06-15,2010,6,6,,,,,,,mud,214.6,0,166,0,,,,,214.6,0,5.36877583,0,,,,
83,Hempstead,2010-06-15,2010,7,7,,,,,,,mud,241.4,0,166,0,,,,,241.4,0,5.486455309,0,,,,
84,Hempstead,2010-06-15,2010,8,8,,,,,,,mud,187.8,0,166,0,,,,,187.8,0,5.235377567,0,,,,
85,Hempstead,2010-06-15,2010,9,9,,,,,,,mud,201.2,0,166,0,,,,,201.2,0,5.304299438,0,,,,
86,Hempstead,2010-06-15,2010,10,10,,,,,,,mud,241.4,0,166,0,,,,,241.4,0,5.486455309,0,,,,
87,Hempstead,2010-06-15,2010,11,11,,,,,,,mud,160.9,1,166,1.375371023,57,57,57,,160.9,0.008511659,5.080783054,1,,,,
88,Hempstead,2010-06-15,2010,12,12,,,,,,,mud,241.4,0,166,0,,,,,241.4,0,5.486455309,0,,,,
89,Hempstead,2010-06-15,2010,13,13,,,,,,,mud,228,0,166,0,,,,,228,0,5.429345629,0,,,,
90,Hempstead,2010-06-15,2010,14,14,,,,,,,mud,187.8,0,166,0,,,,,187.8,0,5.235377567,0,,,,
91,Jamaica,2010-06-21,2010,1,1,11,,,24.8,25.4,5.6,sand,201.2,2,172,3.189691729,45.32317084,37,56,13.43502884,201.2,0.015728987,5.304299438,3,,,,
92,Jamaica,2010-06-21,2010,2,2,7,,,24.8,25.4,5.6,sand,201.2,0,172,0,,,,,201.2,0,5.304299438,0,,,,
93,Jamaica,2010-06-21,2010,3,3,4,,,25.6,25.3,6.32,sand,201.2,0,172,0,,,,,201.2,0,5.304299438,0,,,,
94,Jamaica,2010-06-21,2010,5,4,east side of bay,,,26.6,25,13.14,sand,201.2,0,172,0,,,,,201.2,0,5.304299438,0,,,,
95,Jamaica,2010-06-21,2010,6,5,21,,,24.3,25.5,3.36,sand,201.2,1,172,1.48823882,52,52,52,,201.2,0.007369591,5.304299438,1,,,,
96,Jamaica,2010-06-21,2010,7,6,21,,,24.3,25.5,3.36,sand,201.2,0,172,0,,,,,201.2,0,5.304299438,0,,,,
97,Jamaica,2010-06-21,2010,8,7,18,,,24.5,25.3,3.52,sand,201.2,0,172,0,,,,,201.2,0,5.304299438,0,,,,
98,Jamaica,2010-06-21,2010,9,8,17,,,24.2,25.8,3.57,sand,201.2,2,172,2.519371402,63.08838582,58,69,7.778174593,201.2,0.012443978,5.304299438,3,,,,
99,Jamaica,2010-06-21,2010,10,9,17,,,24.2,25.8,3.57,sand,160.9,0,172,0,,,,,160.9,0,5.080783054,0,,,,
100,Jamaica,2010-06-21,2010,11,10,9,,,23.9,25.2,3.48,sand,201.2,0,172,0,,,,,201.2,0,5.304299438,0,,,,
101,Jamaica,2010-07-08,2010,1,11,6,,,26.5,25.6,7.62,sand,201.2,0,189,0,,,,,201.2,0,5.304299438,0,,,,
102,Jamaica,2010-07-08,2010,2,12,9,,,26.3,25.5,7.46,sand,201.2,1,189,1.333117473,59,59,59,,201.2,0.006603978,5.304299438,1,,,,
103,Jamaica,2010-07-08,2010,3,13,12,,,25.5,26.5,2.85,sand,201.2,0,189,0,,,,,201.2,0,5.304299438,0,,,,
104,Jamaica,2010-07-08,2010,4,14,14,,,25.5,26.5,5.14,sand,201.2,0,189,0,,,,,201.2,0,5.304299438,0,,,,
105,Jamaica,2010-07-08,2010,5,15,16,,,26.1,25.9,6.91,sand,201.2,0,189,0,,,,,201.2,0,5.304299438,0,,,,
106,Jamaica,2010-07-08,2010,6,16,17,,,26.1,24.9,8.02,sand,201.2,1,189,1.353959245,58,58,58,,201.2,0.006706878,5.304299438,1,,,,
107,Jamaica,2010-07-08,2010,7,17,19,,,26.1,25.6,7.56,sand,201.2,1,189,1.256570527,63,63,63,,201.2,0.006225959,5.304299438,1,,,,
108,Jamaica,2010-07-08,2010,8,18,20,,,26.4,25.5,7.31,sand,201.2,0,189,0,,,,,201.2,0,5.304299438,0,,,,
109,Jamaica,2010-07-08,2010,9,19,21,,,26.5,25.5,6.78,mud/sand,201.2,0,189,0,,,,,201.2,0,5.304299438,0,,,,
110,Jamaica,2010-07-08,2010,10,20,9,,,26.6,25.8,7.21,sand,127.5,0,189,0,,,,,127.5,0,4.848116365,0,,,,
111,Jamaica,2010-07-08,2010,11,21,7,,,26.7,25.9,8.19,sand,201.2,1,189,1.239338748,64,64,64,,201.2,0.006140842,5.304299438,1,,,,
112,Jamaica,2010-07-08,2010,12,22,5,,,26.6,25.9,6.1,sand,40.2,0,189,0,,,,,40.2,0,3.693866996,0,,,,
113,Jamaica,2010-07-21,2010,1,23,2,,,28.6,27,10.31,,241.4,0,202,0,,,,,241.4,0,5.486455309,0,,,,
114,Jamaica,2010-07-21,2010,2,24,4,,,29.8,26.8,16.71,,241.4,0,202,0,,,,,241.4,0,5.486455309,0,,,,
115,Jamaica,2010-07-21,2010,3,25,7,,,28.9,26.9,11.23,,241.4,0,202,0,,,,,241.4,0,5.486455309,0,,,,
116,Jamaica,2010-07-21,2010,4,26,9,,,29.4,27,12.97,,241.4,0,202,0,,,,,241.4,0,5.486455309,0,,,,
117,Jamaica,2010-07-21,2010,5,27,12,,,28.2,27.5,7.12,,241.4,0,202,0,,,,,241.4,0,5.486455309,0,,,,
118,Jamaica,2010-07-21,2010,6,28,14,,,28.3,27.6,8.48,,241.4,0,202,0,,,,,241.4,0,5.486455309,0,,,,
119,Jamaica,2010-07-21,2010,7,29,16,,,28,27.2,7.33,,241.4,0,202,0,,,,,241.4,0,5.486455309,0,,,,
120,Jamaica,2010-07-21,2010,8,30,17,,,27.9,27.3,6.67,,241.4,0,202,0,,,,,241.4,0,5.486455309,0,,,,
121,Jamaica,2010-07-21,2010,9,31,20,,,27.8,23,6.07,,241.4,0,202,0,,,,,241.4,0,5.486455309,0,,,,
122,Jamaica,2010-07-21,2010,10,32,21,,,28.7,24.1,7.74,,241.4,0,202,0,,,,,241.4,0,5.486455309,0,,,,
123,Jamaica,2010-08-04,2010,1,33,24,,,25.9,25.7,10.2,,0,0,216,0,,,,,241.4,0,5.486455309,0,,,,
124,Jamaica,2010-08-04,2010,2,34,20,,,26.8,26.4,13.3,,0,0,216,0,,,,,228,0,5.429345629,0,,,,
125,Jamaica,2010-08-04,2010,3,35,20,,,26.8,25.6,10.1,,0,0,216,0,,,,,201.2,0,5.304299438,0,,,,
126,Jamaica,2010-08-04,2010,4,36,17,,,26.3,26.6,8.82,,0,0,216,0,,,,,174.3,0,5.160777953,0,,,,
127,Jamaica,2010-08-04,2010,5,37,15,,,25.8,26.9,8.3,,0,1,216,1.72507236,41,41,41,,241.4,0.007120703,5.486455309,2,,,,
128,Jamaica,2010-08-04,2010,6,38,13,,,26.2,27.5,9.05,,0,0,216,0,,,,,228,0,5.429345629,0,,,,
129,Jamaica,2010-08-04,2010,7,39,7,,,27.5,26.7,16.7,,0,0,216,0,,,,,174.3,0,5.160777953,0,,,,
130,Jamaica,2010-08-04,2010,8,40,4,,,27,26.8,17.5,,0,0,216,0,,,,,228,0,5.429345629,0,,,,
131,Jamaica,2010-08-04,2010,9,41,2,,,27.4,26.9,15.6,,0,0,216,0,,,,,241.4,0,5.486455309,0,,,,
132,Jamaica,2010-08-04,2010,10,42,1,,,28.2,27.3,17.1,,0,0,216,0,,,,,295,0,5.686975356,0,,,,
133,Jamaica,2010-08-18,2010,1,43,24,,,25.1,26.6,3.86,sand,268.2,0,230,0,,,,,268.2,0,5.591732971,0,,,,
134,Jamaica,2010-08-18,2010,2,44,22,,,25,23.7,3.21,sand,268.2,0,230,0,,,,,268.2,0,5.591732971,0,,,,
135,Jamaica,2010-08-18,2010,3,45,12,,,25.1,26.7,2.75,sand/ulva,268.2,0,230,0,,,,,268.2,0,5.591732971,0,,,,
136,Jamaica,2010-08-18,2010,4,46,14,,,25.2,26.9,3.36,sand/ulva,268.2,0,230,0,,,,,268.2,0,5.591732971,0,,,,
137,Jamaica,2010-08-18,2010,5,47,9,,,25.1,25.7,6.93,sand,268.2,0,230,0,,,,,268.2,0,5.591732971,0,,,,
138,Jamaica,2010-08-18,2010,6,48,6,,,25.1,25.8,8.58,sand,268.2,0,230,0,,,,,268.2,0,5.591732971,0,,,,
139,Jamaica,2010-08-18,2010,7,49,4,,,24.8,25.7,7.74,sand/ulva,268.2,0,230,0,,,,,268.2,0,5.591732971,0,,,,
140,Jamaica,2010-08-18,2010,8,50,1,,,25.2,26.1,9.12,sand/ulva,268.2,0,230,0,,,,,268.2,0,5.591732971,0,,,,
141,Jamaica,2010-09-01,2010,1,51,4,,,26,24.7,9.55,mud/ulva,268.2,0,244,0,,,,,268.2,0,5.591732971,0,,,,
142,Jamaica,2010-09-01,2010,2,52,5,,,26,24.2,9.89,sand,268.2,0,244,0,,,,,268.2,0,5.591732971,0,,,,
143,Jamaica,2010-09-01,2010,3,53,9,,,25.9,24.6,10.35,sand,268.2,0,244,0,,,,,268.2,0,5.591732971,0,,,,
144,Jamaica,2010-09-01,2010,4,54,13,,,26,25.9,6.89,sand/ulva,268.2,0,244,0,,,,,268.2,0,5.591732971,0,,,,
145,Jamaica,2010-09-01,2010,5,55,16,,,25.4,25.4,6.24,sand,268.2,0,244,0,,,,,268.2,0,5.591732971,0,,,,
146,Jamaica,2010-09-01,2010,6,56,20,,,27,24.1,7.16,sand,268.2,0,244,0,,,,,268.2,0,5.591732971,0,,,,
147,Jamaica,2010-09-01,2010,7,57,21,,,27.2,23.1,7.38,sand,268.2,0,244,0,,,,,268.2,0,5.591732971,0,,,,
148,Jamaica,2010-09-01,2010,8,58,22,,,25.3,23.5,5.15,sand,268.2,0,244,0,,,,,268.2,0,5.591732971,0,,,,
149,Jamaica,2011-05-27,2011,1,1,,,,21.1,22.2,6.81,sand/ulva,201.2,3,147,5.311299621,36.96823547,29,45,8.020806277,201.2,0.026055692,5.304299438,5,,,,
150,Jamaica,2011-05-27,2011,2,2,,,,21.2,20.4,6.56,mud/ulva,201.2,5,147,9.059430824,33.55093799,25,45,8.544003745,201.2,0.044042715,5.304299438,9,,,,
151,Jamaica,2011-05-27,2011,3,3,,,,22.3,22.3,7.04,sand/ulva,201.2,0,147,0,,,,,201.2,0,5.304299438,0,,,,
152,Jamaica,2011-05-27,2011,4,4,,,,22.3,22.1,6.81,sand/ulva,201.2,1,147,1.792410193,37,37,37,,201.2,0.008869152,5.304299438,2,,,,
153,Jamaica,2011-05-27,2011,5,5,,,,22.4,21.7,8.97,sand/ulva,201.2,0,147,0,,,,,201.2,0,5.304299438,0,,,,
154,Jamaica,2011-05-27,2011,6,6,,,,21,22.7,6.79,sand/ulva,201.2,1,147,1.686732572,43,43,43,,201.2,0.008348417,5.304299438,2,,,,
155,Jamaica,2011-05-27,2011,7,7,,,,22.6,22.2,10.54,sand/ulva,201.2,1,147,1.743111015,40,40,40,,201.2,0.00862626,5.304299438,2,,,,
156,Jamaica,2011-05-27,2011,8,8,,,,22.3,22.3,10.26,sand/ulva,201.2,1,147,1.760357288,39,39,39,,201.2,0.008711237,5.304299438,2,,,,
157,Jamaica,2011-05-27,2011,9,9,,,,21.5,22.2,9.72,sand/ulva,201.2,0,147,0,,,,,201.2,0,5.304299438,0,,,,
158,Jamaica,2011-05-27,2011,10,10,,,,20.9,22.7,9.53,sand/mud/ulva,201.2,0,147,0,,,,,201.2,0,5.304299438,0,,,,
159,Jamaica,2011-06-24,2011,1,11,,,,22.6,24,5.49,sand/ulva,201.2,0,175,9.58083322,57.29145912,50,70,6.841748593,201.2,0.04651945,5.304299438,10,,,,
160,Jamaica,2011-06-24,2011,2,12,,,,22.5,24,6.25,sand/ulva,201.2,0,175,9.740537562,56.10051667,45,73,9.423880507,201.2,0.047276843,5.304299438,10,,,,
161,Jamaica,2011-06-24,2011,3,13,,,,22.8,23.8,6.18,sand/ulva,201.2,0,175,9.774290846,55.76035848,45,65,6.317021601,201.2,0.047436843,5.304299438,10,,,,
162,Jamaica,2011-06-24,2011,4,14,,,,22.9,24,6.38,sand,201.2,0,175,12.33511432,57.14698753,50,65,4.666666667,201.2,0.059501851,5.304299438,12,,,,
163,Jamaica,2011-06-24,2011,5,15,,,,23.2,24.2,6.03,sand/ulva,201.2,0,175,0,,,,,201.2,0,5.304299438,0,,,,
164,Jamaica,2011-06-24,2011,6,16,,,,23.3,23.1,5.77,sand/ulva,201.2,0,175,0,,,,,201.2,0,5.304299438,0,,,,
165,Jamaica,2011-06-24,2011,7,17,,,,23.4,23.5,6.55,sand/ulva,201.2,3,175,0,,,,,201.2,0,5.304299438,0,,,,
166,Jamaica,2011-06-24,2011,8,18,,,,23.4,23.5,5.04,sand,201.2,0,175,0,,,,,201.2,0,5.304299438,0,,,,
167,Jamaica,2011-06-24,2011,9,19,,,,23.3,23.9,5.5,sand,201.2,4,175,0,,,,,201.2,0,5.304299438,0,,,,
168,Jamaica,2011-06-24,2011,10,20,,,,23.3,23.9,5.5,sand,201.2,3,175,0,,,,,201.2,0,5.304299438,0,,,,
169,Jamaica,2011-07-08,2011,1,21,,,,26.1,23.6,7.6,sand,201.2,0,189,0,,,,,201.2,0,5.304299438,0,,,,
170,Jamaica,2011-07-08,2011,2,22,,,,26.7,23.6,13.42,sand,201.2,1,189,1.192534974,67,67,67,,201.2,0.005909616,5.304299438,1,,,,
171,Jamaica,2011-07-08,2011,3,23,,,,26.2,22.6,10.8,sand/ulva,201.2,0,189,0,,,,,201.2,0,5.304299438,0,,,,
172,Jamaica,2011-07-08,2011,4,24,,,,27.1,21.4,10.2,sand/ulva,201.2,0,189,0,,,,,201.2,0,5.304299438,0,,,,
173,Jamaica,2011-07-08,2011,5,25,,,,26.7,24.8,9.65,sand/ulva,201.2,1,189,1.086431913,77,77,77,,201.2,0.005385235,5.304299438,1,,,,
174,Jamaica,2011-07-08,2011,6,26,,,,26.6,24.7,7.5,sand/ulva,160.9,0,189,0,,,,,160.9,0,5.080783054,0,,,,
175,Jamaica,2011-07-08,2011,7,27,,,,26.7,23.9,15.82,sand/ulva,201.2,0,189,0,,,,,201.2,0,5.304299438,0,,,,
176,Jamaica,2011-07-08,2011,8,28,,,,27.1,24.2,5.68,sand,201.2,0,189,0,,,,,201.2,0,5.304299438,0,,,,
177,Jamaica,2011-07-08,2011,9,29,,,,27.6,24.3,13.36,sand/ulva,201.2,0,189,0,,,,,201.2,0,5.304299438,0,,,,
178,Jamaica,2011-07-08,2011,10,30,,,,27.1,24.4,13.19,sand/ulva,201.2,0,189,0,,,,,201.2,0,5.304299438,0,,,,
179,Jamaica,2011-07-21,2011,1,31,,,,26.8,25.5,5.01,sand/ulva,201.2,0,202,0,,,,,201.2,0,5.304299438,0,,,,
